Id,SalePrice
1461,112624.26766282317
1462,159737.94636413775
1463,186516.87348155893
1464,197154.61215871482
1465,205458.83082706336
1466,170109.88900904794
1467,174914.63129742804
1468,156537.39631961414
1469,212404.48089169475
1470,114814.72433948753
1471,154673.2571045189
1472,97527.3459384367
1473,93328.28323963168
1474,146113.08683520008
1475,106203.06141363243
1476,375890.8155894781
1477,262148.1495992204
1478,312082.3964182718
1479,304114.8306784178
1480,485293.09685627796
1481,309751.89983945404
1482,204474.36412499298
1483,176840.4123630629
1484,161547.60298526334
1485,177776.94095445515
1486,188131.25281489527
1487,335370.3425807901
1488,219411.9660479406
1489,203143.24942762937
1490,256155.40018322552
1491,201427.76394902274
1492,102686.82040088307
1493,185868.61768339013
1494,304891.91224912886
1495,288854.3477276362
1496,243632.51081723353
1497,175264.66230566177
1498,175571.04202229372
1499,162402.94320105805
1500,148934.2856819684
1501,195743.29852216272
1502,133174.9082470354
1503,357205.3757722017
1504,233242.04631427475
1505,224234.97549118445
1506,192313.90434047172
1507,257674.3807814828
1508,196161.43432637965
1509,154561.67563594168
1510,143516.924911534
1511,160433.2819093278
1512,175159.27806040016
1513,150461.40562518034
1514,169875.42286225274
1515,207781.16899838598
1516,152518.4755157905
1517,183147.55028986218
1518,121383.39041737972
1519,221204.12348043828
1520,118756.43703335997
1521,134423.48497573932
1522,188248.2192105487
1523,111830.13266586233
1524,123503.88657974834
1525,116193.45052876975
1526,104050.35149088033
1527,102202.7382496083
1528,130357.31987483552
1529,161015.4084540045
1530,211705.54325544395
1531,129498.49199908666
1532,91968.65817575168
1533,166704.527934194
1534,126818.74084880488
1535,150842.7563070126
1536,92779.97410441519
1537,46296.32451737503
1538,151585.59258536156
1539,206723.87544363792
1540,118826.84706582341
1541,142258.55729220694
1542,166038.5027764073
1543,188173.8867126847
1544,75079.39989807486
1545,120031.70521354275
1546,137800.582937479
1547,136441.94652125333
1548,150984.19955316104
1549,126379.75171602493
1550,143377.49788725888
1551,104036.82709362125
1552,153200.63728525638
1553,156954.8307061173
1554,113317.549441647
